location,sampling,standardized_location
P0-3R,1,P0-3R
P34-40,1,P32-38
P0-3R,2,P0-3R
P34-40,2,P32-38
P0-3R,3,P0-3R
P34-40,3,P32-38
P40-45,3,P38-45
P0-3R,4,P0-3R
P21-22L,4,R21-25L
P34-40,4,P32-38
P40-45,4,P38-45
P6-12,4,P6-13
P0-3R,5,P0-3R
P21-24R,5,P22-23R
P34-40,5,P32-38
P40-45,5,P38-45
P47-50R,5,R48-51R
P53-57L,5,R53-60L
P6-12,5,P6-13
R55-60,5,
P0-3R,6,P0-3R
P21-24R,6,P22-23R
P3-6R,6,P3-6R
P38-45,6,P38-45
R17-21,6,R17-20
R25-30,6,R25-30
P0-7,7,P0-3R
P21-23L,7,R21-25L
P25-30,7,R25-30
P38-45,7,P38-45
P47-50,7,P47-50
P76-78,7,P76-78
R17-21,7,R17-20
P0-3R,8,P0-3R
P21-23L,8,R21-25L
P21-24R,8,P22-23R
P3-6R,8,P3-6R
P38-45,8,P38-45
R30-38,8,P32-38
P0-3R,9,P0-3R
P21-23L,9,R21-25L
P3-6R,9,P3-6R
P38-45,9,P38-45
P47-50,9,P47-50
P76-78,9,P76-78
R17-21,9,R17-20
R25-30,9,S26-31L
R30-38,9,P32-38
R50-55R,9,R52-53R
B29-20,10,
P0-3R,10,P0-3R
P21-24R,10,P22-23R
P22-24L,10,R21-25L
P38-45,10,P38-45
P47-50,10,P47-50
P53-57L,10,R53-60L
P59-60,10,
P76-78,10,P76-78
R17-21,10,R17-20
B42-47L,11,S43-46L
P0-3R,11,P0-3R
P22-24L,11,R21-25L
P38-45,11,P38-45
P47-50,11,P47-50
R17-21,11,R17-20
R30-38,11,P32-38
R53-60L,11,P53-57L
B42-47L,12,S43-46L
P0-3R,12,P0-3R
P22-24L,12,R21-25L
P3-6R,12,P3-6R
P38-45,12,P38-45
P47-50,12,P47-50
P53-57L,12,R53-60L
P55-58,12,P55-58L
P59-60,12,R58-63L
P73-75,12,P73-75
P76-78,12,P76-78
R25-30,12,R25-30
B42-46L,13,S43-46L
P0-3R,13,P0-3R
P17-19,13,P17-19R
P21-24R,13,P21-26
P22-25L,13,R21-25L
P3-6R,13,P3-6R
P38-45,13,P38-45
P47-50R,13,R48-51R
P53-57L,13,R53-60L
P73-75,13,P73-75
P76-78,13,P76-78
R25-30,13,R25-30
B42-46L,14,S43-46L
N6-12,14,P6-13
P0-3R,14,P0-3R
P17-19,14,R17-20
P21-24R,14,P22-23R
P22-25L,14,P22-24L
P3-6R,14,P3-6R
P38-45,14,P38-45
P47-50R,14,R48-51R
P53-57L,14,R53-60L
P70-71.5,14,P70-71R
P73-75,14,P73-75
P77-79,14,P76-78
R19-21,14,R19-21
R25-30,14,R25-30
R30-38,14,P32-38
R54-61,14,S54-60R
P0-3,15,P2-4L
P0-3R,15,P0-3R
P17-19,15,P17-19R
P21.5-23L,15,R21-25L
P21.5-24.5,15,R21-25L
P21.5-24.5L,15,R21-25L
P21.5-24.5R,15,P22-23R
P3.5-5.5,15,P3-6R
P38-45,15,P38-45
P47-50L,15,P47-50L
P47-50R,15,R48-51R
P5.5-10,15,P6-13
P55.5-61.5,15,P55-58L
P70-71.5,15,P70-71R
P73-75,15,P73-75
P76.5-79.5,15,P76-78
P77-79R,15,R75-79R
P84-88,15,P83-88
R2-4R,15,P3-6R
R25.5-29,15,R25-30
R3.5-5.5,15,P3-6R
R32.5-38,15,P32-38
R55.5-61.5,15,P55-58L
R9-11.5,15,R8-10L
S42.5-46L,15,S43-46L
S42.5-46R,15,S43-46L
S54-60L,15,R53-60L
S54-60R,15,S54-60R
N35-37,16,P32-38
N72-75,16,P73-75
P0-3R,16,P0-3R
P22-24.5L,16,P22-24L
P22.5-30R,16,R25-30
P25.5-29.5L,16,S26-31L
P25.5-30,16,R25-30
P25.5-30R,16,P25-27R
P3-5R,16,P3-6R
P30-31.5R,16,P25-27R
P30-45.5,16,P38-45
P38-45.5,16,P38-45
P38.45.5,16,P38-45
P47-50,16,P47-50
P47-50L,16,P47-50L
P47-50R,16,R48-51R
P69-70.5R,16,P69-70R
P76-78,16,P76-78
R17-20,16,R17-20
R2-4,16,P2-4L
R20-21.5,16,R20-22
R5-10.8,16,R8-10L
R5-11,16,P6-13
R54-61,16,S54-60R
R64-66,16,P63-66R
R66-69,16,P66-67
R80-83,16,P81.5-84
R83-89,16,P83-88
R9-17,16,N13-15
S21.5-22.5R,16,P20-22R
S43-46L,16,S43-46L
S54-59L,16,R53-60L
B60-62,17,P60-62L
N1-4L,17,P2-4L
N22-26R,17,P22-23R
N25-28L,17,P26-28L
N28-31L,17,P26-28L
N3-6R,17,P3-6R
N30-31,17,S26-31L
N55-61R,17,S54-60R
N6-12L,17,P6-13
N72-76,17,P73-75
N76-79,17,P76-78
P0-3R,17,P0-3R
P03R,17,P0-3R
P17-19,17,P17-19R
P21-25L,17,R21-25L
P22-24R,17,P22-23R
P26-28R,17,P25-27R
P3-6R,17,P3-6R
P38-46,17,P38-45
P47-39R,17,P47-50
P47-49R,17,R48-51R
P69-71R,17,P70-71R
R1-4L,17,P2-4L
R32-38,17,P32-38
R49-51L,17,R48-51R
R53-60L,17,P53-57L
R6-12L,17,P6-13
R63-65L,17,R63-65L
R66-67L,17,P66-67
R9-17,17,P6-13
S43-46L,17,S43-46L
N17-19,18,R17-20
N21-26,18,P21-26
N23-25L,18,P22-24L
N26-27L,18,P26-28L
N55-61R,18,S54-60R
N55-62R,18,S54-60R
N72-76,18,R71-74
N76-80,18,P76-78
P0-3R,18,P0-3R
P17-18L,18,B16-18L
P19-21,18,R19-21
P2-4L,18,P2-4L
P21-23R,18,P22-23R
P22-24,18,P22-24L
P27-28R,18,P25-27R
P3-6,18,P3-6R
P3-6R,18,P3-6R
P38-46,18,P38-45
P47-49R,18,R48-51R
P53-57L,18,R53-60L
P55-57L,18,P55-58L
P60-62L,18,P60-62L
P66-67L,18,P66-67
P7-11L,18,R8-10L
P77-79,18,P76-78
P9-13R,18,P6-13
R33-38,18,P32-38
R6-10R,18,P6-13
R64-72,18,R67-69
R8-10L,18,R8-10L
S43-47L,18,S43-46L
N25-31L,19,S26-31L
N27-29R,19,P25-27R
N34-38,19,P32-38
N6-15,19,P6-13
P1-3,19,P0-3R
P1-3R,19,P0-3R
P17.5-19.5,19,P17-19R
P18-19L,19,P18-19L
P2-5L,19,P2-4L
P22,19,P22-24L
P22-25,19,P22-24L
P3-6R,19,P3-6R
P38-47,19,P38-45
P48-50,19,P47-50
P70-71,19,P70-71R
P71R,19,P70-71R
P74-45L,19,P73-75
P74-75L,19,P73-75
P77-80,19,P76-78
P77-81,19,P76-78
R19-22,19,R19-21
R31R,19,
R55-63,19,S54-60R
S22-23R,19,P22-23R
S25-31L,19,S26-31L
S45-48C,19,S43-46L
S45-48L,19,S43-46L
S54-60,19,R53-60L
S54-60L,19,R53-60L
S61-63L,19,P60-62L
N26-30,20,R25-30
N26-30R,20,R25-30
N32-38,20,P32-38
N5-17,20,P6-13
N54-60R,20,S54-60R
N63-66C,20,N63-66
N63-66L,20,N63-66
N83-88,20,P83-88
P0-3,20,P0-3R
P0-3R,20,P0-3R
P17-19R,20,P17-19R
P18-19L,20,P18-19L
P21-23R,20,P20-22R
P22-26,20,R23-26
P25.5-27.5L,20,P26-28L
P3-4L,20,P2-4L
P3-6R,20,P3-6R
P32-38,20,P32-38
P38-46,20,P38-45
P47-50,20,P47-50
P53-59L,20,R53-60L
P66-68L,20,P66-67
P69-71,20,P69-70R
P76-79L,20,P77-80L
P77-79,20,P76-78
P83-88,20,P83-88
P95-97R,20,P83-88
R19-21,20,R19-21
R28-31L,20,S26-31L
R69-70L,20,R67-69
S42-44,20,S43-46L
B16-18L,21,B16-18L
N24-26L,21,R23-26
N3-12,21,P6-13
N3-12R,21,P6-13
N33-36,21,P32-38
N36-44,21,P38-45
N54-60.5R,21,S54-60R
N62-64,21,N63-66
N81.5-84,21,P81.5-84
P0-2R,21,P0-3R
P0-3L,21,P2-4L
P18-20,21,R17-20
P2-5R,21,P0-3R
P20-22R,21,P20-22R
P20-24L,21,R21-25L
P25-27,21,P25-27R
P25-27R,21,P25-27R
P27-29L,21,P26-28L
P33-36,21,P32-38
P36-44,21,P38-45
P43-46L,21,S43-46L
P45-48,21,P47-50
P52-58L,21,P53-57L
